Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.8,P16,line,-0.02,0.02,0,img/trig/line/s0.05m-0.8/,0
0.05,line,0.2,P16,area,0,0,1,img/line/area/s0.05m0.2/,0
0.1,quad,-0.1,P16,area,-0.03,0.03,2,img/quad/area/s0.1m-0.1/,0
0.05,line,-0.1,P16,area,-0.04,0.04,3,img/line/area/s0.05m-0.1/,0
0.1,trig,0.1,P16,line,0.03,0.03,4,img/trig/line/s0.1m0.1/,0
0.15,quad,0.2,P16,scatter,0.15,0.15,5,img/quad/scatter/s0.15m0.2/,0
0.2,trig,-0.1,P16,area,0.02,0.02,6,img/trig/area/s0.2m-0.1/,0
0.2,line,0.2,P16,scatter,0.42,0.42,7,img/line/scatter/s0.2m0.2/,0
0.05,quad,0.1,P16,scatter,0.02,0.02,8,img/quad/scatter/s0.05m0.1/,0
0.05,line,-0.1,P16,line,-0.02,0.02,9,img/line/line/s0.05m-0.1/,0
0.05,trig,0.1,P16,line,0.02,0.02,10,img/trig/line/s0.05m0.1/,0
0.15,quad,0.4,P16,scatter,0.16,0.16,11,img/quad/scatter/s0.15m0.4/,0
0.2,trig,-0.1,P16,line,-0.02,0.02,12,img/trig/line/s0.2m-0.1/,0
0.1,line,0.1,P16,area,0.07,0.07,13,img/line/area/s0.1m0.1/,0
0.1,quad,-0.2,P16,area,-0.06,0.06,14,img/quad/area/s0.1m-0.2/,0
0.2,line,-0.4,P16,line,-0.04,0.04,15,img/line/line/s0.2m-0.4/,0
0.2,trig,-0.2,P16,line,-0.19,0.19,16,img/trig/line/s0.2m-0.2/,0
0.05,quad,0.2,P16,scatter,0.02,0.02,17,img/quad/scatter/s0.05m0.2/,0
0.1,trig,-0.1,P16,line,-0.02,0.02,18,img/trig/line/s0.1m-0.1/,0
0.01,line,-0.4,P16,area,-0.03,0.03,19,img_validation/line/area/s0.1m-0.4/,1
0.1,line,0.2,P16,scatter,0.12,0.12,20,img/line/scatter/s0.1m0.2/,0
0.2,quad,-0.8,P16,scatter,-0.18,0.18,21,img/quad/scatter/s0.2m-0.8/,0
0.15,line,-0.8,P16,line,-0.14,0.14,22,img/line/line/s0.15m-0.8/,0
0.05,trig,0.8,P16,scatter,0.01,0.01,23,img/trig/scatter/s0.05m0.8/,0
0.05,quad,-0.8,P16,area,0.06,0.06,24,img/quad/area/s0.05m-0.8/,0
0.15,trig,-0.8,P16,area,-0.04,0.04,25,img/trig/area/s0.15m-0.8/,0
0.1,line,0.8,P16,scatter,0.11,0.11,26,img/line/scatter/s0.1m0.8/,0
0.05,quad,0.8,P16,line,0.03,0.03,27,img/quad/line/s0.05m0.8/,0
0.1,line,0.2,P16,area,0.08,0.08,28,img/line/area/s0.1m0.2/,0
0.2,trig,-0.8,P16,area,-0.24,0.24,29,img/trig/area/s0.2m-0.8/,0
0.1,quad,0.8,P16,area,0.02,0.02,30,img/quad/area/s0.1m0.8/,0
0.1,trig,-0.2,P16,line,0.01,0.01,31,img/trig/line/s0.1m-0.2/,0
0.15,line,-0.1,P16,area,0.02,0.02,32,img/line/area/s0.15m-0.1/,0
0.2,quad,0.4,P16,scatter,0.18,0.18,33,img/quad/scatter/s0.2m0.4/,0
0.05,line,0.2,P16,line,-0.03,0.03,34,img/line/line/s0.05m0.2/,0
0.15,trig,-0.4,P16,area,-0.05,0.05,35,img/trig/area/s0.15m-0.4/,0
0.1,quad,0.4,P16,area,0.2,0.2,36,img/quad/area/s0.1m0.4/,0
0.1,trig,0.4,P16,line,0.05,0.05,37,img/trig/line/s0.1m0.4/,0
0.05,line,-0.2,P16,area,-0.06,0.06,38,img_validation/line/area/s0.05m-0.2/,1
0.15,line,-0.8,P16,scatter,-0.11,0.11,39,img/line/scatter/s0.15m-0.8/,0
0.05,quad,-0.4,P16,scatter,0,0,40,img/quad/scatter/s0.05m-0.4/,0
0.2,line,-0.2,P16,area,0.02,0.02,41,img/line/area/s0.2m-0.2/,0
0.2,trig,0.8,P16,scatter,0.11,0.11,42,img/trig/scatter/s0.2m0.8/,0
0.15,quad,0.2,P16,area,0.14,0.14,43,img/quad/area/s0.15m0.2/,0
0.2,trig,0.4,P16,line,0.07,0.07,44,img/trig/line/s0.2m0.4/,0
0.15,line,0.1,P16,line,0.25,0.25,45,img/line/line/s0.15m0.1/,0
0.2,quad,0.8,P16,line,-0.06,0.06,46,img/quad/line/s0.2m0.8/,0
0.15,line,0.4,P16,line,0.15,0.15,47,img/line/line/s0.15m0.4/,0
0.05,trig,-0.8,P16,scatter,-0.01,0.01,48,img/trig/scatter/s0.05m-0.8/,0
0.05,quad,-0.4,P16,area,0.02,0.02,49,img/quad/area/s0.05m-0.4/,0
0.1,trig,-0.2,P16,scatter,-0.13,0.13,50,img/trig/scatter/s0.1m-0.2/,0
0.15,line,0.8,P16,area,0.08,0.08,51,img/line/area/s0.15m0.8/,0
0.2,quad,0.1,P16,line,0.04,0.04,52,img/quad/line/s0.2m0.1/,0
0.1,line,-0.8,P16,scatter,-0.1,0.1,53,img/line/scatter/s0.1m-0.8/,0
0.2,trig,-0.8,P16,line,-0.08,0.08,54,img/trig/line/s0.2m-0.8/,0
0.2,quad,0.1,P16,area,0.09,0.09,55,img/quad/area/s0.2m0.1/,0
0.05,trig,-0.2,P16,area,-0.02,0.02,56,img/trig/area/s0.05m-0.2/,0
0.05,line,-0.2,P16,area,-0.05,0.05,57,img_validation/line/area/s0.05m-0.2/,1
0.2,line,-0.2,P16,scatter,-0.26,0.26,58,img/line/scatter/s0.2m-0.2/,0
0.1,quad,-0.4,P16,scatter,-0.09,0.09,59,img/quad/scatter/s0.1m-0.4/,0
0.2,line,0.8,P16,area,-0.1,0.1,60,img/line/area/s0.2m0.8/,0
0.15,trig,-0.2,P16,scatter,-0.01,0.01,61,img/trig/scatter/s0.15m-0.2/,0
0.1,quad,-0.8,P16,line,-0.05,0.05,62,img/quad/line/s0.1m-0.8/,0
0.1,trig,0.2,P16,line,0.04,0.04,63,img/trig/line/s0.1m0.2/,0
0.1,line,-0.8,P16,area,-0.04,0.04,64,img/line/area/s0.1m-0.8/,0
0.05,quad,-0.4,P16,line,-0.01,0.01,65,img/quad/line/s0.05m-0.4/,0
0.05,line,-0.1,P16,scatter,0,0,66,img/line/scatter/s0.05m-0.1/,0
0.1,trig,-0.1,P16,scatter,-0.07,0.07,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P16,line,0.11,0.11,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P16,area,0,0,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P16,scatter,0.17,0.17,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P16,line,-0.1,0.1,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P16,line,-0.01,0.01,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P16,area,-0.1,0.1,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P16,area,0.18,0.18,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P16,area,0.19,0.19,75,img/trig/area/s0.15m0.1/,0
