Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.8,P4,line,-0.05,0.05,0,img/trig/line/s0.05m-0.8/,0
0.05,line,0.2,P4,area,0.02,0.02,1,img/line/area/s0.05m0.2/,0
0.1,quad,-0.1,P4,area,-0.1,0.1,2,img/quad/area/s0.1m-0.1/,0
0.05,line,-0.1,P4,area,-0.03,0.03,3,img/line/area/s0.05m-0.1/,0
0.1,trig,0.1,P4,line,0.06,0.06,4,img/trig/line/s0.1m0.1/,0
0.15,quad,0.2,P4,scatter,0.12,0.12,5,img/quad/scatter/s0.15m0.2/,0
0.2,trig,-0.1,P4,area,0.43,0.43,6,img/trig/area/s0.2m-0.1/,0
0.2,line,0.2,P4,scatter,0.13,0.13,7,img/line/scatter/s0.2m0.2/,0
0.05,quad,0.1,P4,scatter,0.02,0.02,8,img/quad/scatter/s0.05m0.1/,0
0.05,line,-0.1,P4,line,0.03,0.03,9,img/line/line/s0.05m-0.1/,0
0.05,trig,0.1,P4,line,0.03,0.03,10,img/trig/line/s0.05m0.1/,0
0.15,quad,0.4,P4,scatter,0.02,0.02,11,img/quad/scatter/s0.15m0.4/,0
0.2,trig,-0.1,P4,line,-0.24,0.24,12,img/trig/line/s0.2m-0.1/,0
0.1,line,0.1,P4,area,0.1,0.1,13,img/line/area/s0.1m0.1/,0
0.1,quad,-0.2,P4,area,-0.03,0.03,14,img/quad/area/s0.1m-0.2/,0
0.2,line,-0.4,P4,line,-0.06,0.06,15,img/line/line/s0.2m-0.4/,0
0.2,trig,-0.2,P4,line,-0.02,0.02,16,img/trig/line/s0.2m-0.2/,0
0.05,quad,0.2,P4,scatter,0.02,0.02,17,img/quad/scatter/s0.05m0.2/,0
0.1,trig,-0.1,P4,line,-0.03,0.03,18,img/trig/line/s0.1m-0.1/,0
0.02,line,0.8,P4,area,0.24,0.24,19,img_validation/line/area/s0.2m0.8/,1
0.1,line,0.2,P4,scatter,0.09,0.09,20,img/line/scatter/s0.1m0.2/,0
0.2,quad,-0.8,P4,scatter,0.09,0.09,21,img/quad/scatter/s0.2m-0.8/,0
0.15,line,-0.8,P4,line,0.21,0.21,22,img/line/line/s0.15m-0.8/,0
0.05,trig,0.8,P4,scatter,0.11,0.11,23,img/trig/scatter/s0.05m0.8/,0
