Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.8,P1,line,-0.03,0.03,0,img/trig/line/s0.05m-0.8/,0
0.05,line,0.2,P1,area,0.06,0.06,1,img/line/area/s0.05m0.2/,0
0.1,quad,-0.1,P1,area,-0.14,0.14,2,img/quad/area/s0.1m-0.1/,0
0.05,line,-0.1,P1,area,0.01,0.01,3,img/line/area/s0.05m-0.1/,0
0.1,trig,0.1,P1,line,0.2,0.2,4,img/trig/line/s0.1m0.1/,0
0.15,quad,0.2,P1,scatter,0.01,0.01,5,img/quad/scatter/s0.15m0.2/,0
0.2,trig,-0.1,P1,area,0,0,6,img/trig/area/s0.2m-0.1/,0
0.2,line,0.2,P1,scatter,0.29,0.29,7,img/line/scatter/s0.2m0.2/,0
0.05,quad,0.1,P1,scatter,0,0,8,img/quad/scatter/s0.05m0.1/,0
0.05,line,-0.1,P1,line,0,0,9,img/line/line/s0.05m-0.1/,0
0.05,trig,0.1,P1,line,0.01,0.01,10,img/trig/line/s0.05m0.1/,0
0.15,quad,0.4,P1,scatter,0.11,0.11,11,img/quad/scatter/s0.15m0.4/,0
0.2,trig,-0.1,P1,line,0.1,0.1,12,img/trig/line/s0.2m-0.1/,0
0.1,line,0.1,P1,area,0.18,0.18,13,img/line/area/s0.1m0.1/,0
0.1,quad,-0.2,P1,area,0.06,0.06,14,img/quad/area/s0.1m-0.2/,0
0.2,line,-0.4,P1,line,-0.11,0.11,15,img/line/line/s0.2m-0.4/,0
0.2,trig,-0.2,P1,line,-0.3,0.3,16,img/trig/line/s0.2m-0.2/,0
0.05,quad,0.2,P1,scatter,-0.03,0.03,17,img/quad/scatter/s0.05m0.2/,0
0.1,trig,-0.1,P1,line,-0.09,0.09,18,img/trig/line/s0.1m-0.1/,0
0.01,line,-0.4,P1,area,0,0,19,img_validation/line/area/s0.1m-0.4/,1
0.1,line,0.2,P1,scatter,0.1,0.1,20,img/line/scatter/s0.1m0.2/,0
0.2,quad,-0.8,P1,scatter,0.02,0.02,21,img/quad/scatter/s0.2m-0.8/,0
0.15,line,-0.8,P1,line,-0.11,0.11,22,img/line/line/s0.15m-0.8/,0
0.05,trig,0.8,P1,scatter,0.03,0.03,23,img/trig/scatter/s0.05m0.8/,0
0.05,quad,-0.8,P1,area,-0.04,0.04,24,img/quad/area/s0.05m-0.8/,0
0.15,trig,-0.8,P1,area,-0.1,0.1,25,img/trig/area/s0.15m-0.8/,0
0.1,line,0.8,P1,scatter,0.18,0.18,26,img/line/scatter/s0.1m0.8/,0
0.05,quad,0.8,P1,line,-0.05,0.05,27,img/quad/line/s0.05m0.8/,0
0.1,line,0.2,P1,area,0.19,0.19,28,img/line/area/s0.1m0.2/,0
0.2,trig,-0.8,P1,area,-0.21,0.21,29,img/trig/area/s0.2m-0.8/,0
0.1,quad,0.8,P1,area,0.04,0.04,30,img/quad/area/s0.1m0.8/,0
0.1,trig,-0.2,P1,line,-0.03,0.03,31,img/trig/line/s0.1m-0.2/,0
0.15,line,-0.1,P1,area,-0.02,0.02,32,img/line/area/s0.15m-0.1/,0
0.2,quad,0.4,P1,scatter,0.29,0.29,33,img/quad/scatter/s0.2m0.4/,0
0.05,line,0.2,P1,line,0.04,0.04,34,img/line/line/s0.05m0.2/,0
0.15,trig,-0.4,P1,area,-0.38,0.38,35,img/trig/area/s0.15m-0.4/,0
0.1,quad,0.4,P1,area,0.15,0.15,36,img/quad/area/s0.1m0.4/,0
0.1,trig,0.4,P1,line,0.15,0.15,37,img/trig/line/s0.1m0.4/,0
0.01,line,-0.4,P1,area,0,0,38,img_validation/line/area/s0.1m-0.4/,1
0.15,line,-0.8,P1,scatter,-0.1,0.1,39,img/line/scatter/s0.15m-0.8/,0
0.05,quad,-0.4,P1,scatter,-0.04,0.04,40,img/quad/scatter/s0.05m-0.4/,0
0.2,line,-0.2,P1,area,0.12,0.12,41,img/line/area/s0.2m-0.2/,0
0.2,trig,0.8,P1,scatter,0.32,0.32,42,img/trig/scatter/s0.2m0.8/,0
0.15,quad,0.2,P1,area,0.23,0.23,43,img/quad/area/s0.15m0.2/,0
0.2,trig,0.4,P1,line,0.23,0.23,44,img/trig/line/s0.2m0.4/,0
0.15,line,0.1,P1,line,0.03,0.03,45,img/line/line/s0.15m0.1/,0
0.2,quad,0.8,P1,line,0.09,0.09,46,img/quad/line/s0.2m0.8/,0
0.15,line,0.4,P1,line,0.12,0.12,47,img/line/line/s0.15m0.4/,0
0.05,trig,-0.8,P1,scatter,-0.04,0.04,48,img/trig/scatter/s0.05m-0.8/,0
0.05,quad,-0.4,P1,area,0,0,49,img/quad/area/s0.05m-0.4/,0
0.1,trig,-0.2,P1,scatter,-0.1,0.1,50,img/trig/scatter/s0.1m-0.2/,0
0.15,line,0.8,P1,area,0.02,0.02,51,img/line/area/s0.15m0.8/,0
0.2,quad,0.1,P1,line,0.23,0.23,52,img/quad/line/s0.2m0.1/,0
0.1,line,-0.8,P1,scatter,0.08,0.08,53,img/line/scatter/s0.1m-0.8/,0
0.2,trig,-0.8,P1,line,0.11,0.11,54,img/trig/line/s0.2m-0.8/,0
0.2,quad,0.1,P1,area,0.19,0.19,55,img/quad/area/s0.2m0.1/,0
0.05,trig,-0.2,P1,area,-0.08,0.08,56,img/trig/area/s0.05m-0.2/,0
0.01,line,-0.4,P1,area,0,0,57,img_validation/line/area/s0.1m-0.4/,1
0.2,line,-0.2,P1,scatter,0.49,0.49,58,img/line/scatter/s0.2m-0.2/,0
0.1,quad,-0.4,P1,scatter,-0.08,0.08,59,img/quad/scatter/s0.1m-0.4/,0
0.2,line,0.8,P1,area,-0.01,0.01,60,img/line/area/s0.2m0.8/,0
0.15,trig,-0.2,P1,scatter,-0.11,0.11,61,img/trig/scatter/s0.15m-0.2/,0
0.1,quad,-0.8,P1,line,-0.18,0.18,62,img/quad/line/s0.1m-0.8/,0
0.1,trig,0.2,P1,line,0.04,0.04,63,img/trig/line/s0.1m0.2/,0
0.1,line,-0.8,P1,area,-0.02,0.02,64,img/line/area/s0.1m-0.8/,0
0.05,quad,-0.4,P1,line,-0.03,0.03,65,img/quad/line/s0.05m-0.4/,0
0.05,line,-0.1,P1,scatter,0.02,0.02,66,img/line/scatter/s0.05m-0.1/,0
0.1,trig,-0.1,P1,scatter,-0.08,0.08,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P1,line,0.07,0.07,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P1,area,-0.02,0.02,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P1,scatter,0.32,0.32,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P1,line,-0.02,0.02,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P1,line,0.01,0.01,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P1,area,-0.01,0.01,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P1,area,0.46,0.46,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P1,area,0.1,0.1,75,img/trig/area/s0.15m0.1/,0
0.02,line,0.8,P1,area,-0.01,0.01,76,img_validation/line/area/s0.2m0.8/,1
