Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.8,P7,line,0.01,0.01,0,img/trig/line/s0.05m-0.8/,0
0.05,line,0.2,P7,area,0,0,1,img/line/area/s0.05m0.2/,0
0.1,quad,-0.1,P7,area,-0.01,0.01,2,img/quad/area/s0.1m-0.1/,0
0.05,line,-0.1,P7,area,-0.02,0.02,3,img/line/area/s0.05m-0.1/,0
0.1,trig,0.1,P7,line,0.09,0.09,4,img/trig/line/s0.1m0.1/,0
0.15,quad,0.2,P7,scatter,-0.01,0.01,5,img/quad/scatter/s0.15m0.2/,0
0.2,trig,-0.1,P7,area,-0.07,0.07,6,img/trig/area/s0.2m-0.1/,0
0.2,line,0.2,P7,scatter,0.04,0.04,7,img/line/scatter/s0.2m0.2/,0
0.05,quad,0.1,P7,scatter,-0.02,0.02,8,img/quad/scatter/s0.05m0.1/,0
0.05,line,-0.1,P7,line,0.01,0.01,9,img/line/line/s0.05m-0.1/,0
0.05,trig,0.1,P7,line,-0.01,0.01,10,img/trig/line/s0.05m0.1/,0
0.15,quad,0.4,P7,scatter,0.1,0.1,11,img/quad/scatter/s0.15m0.4/,0
0.2,trig,-0.1,P7,line,0.03,0.03,12,img/trig/line/s0.2m-0.1/,0
0.1,line,0.1,P7,area,0,0,13,img/line/area/s0.1m0.1/,0
0.1,quad,-0.2,P7,area,0,0,14,img/quad/area/s0.1m-0.2/,0
0.2,line,-0.4,P7,line,-0.01,0.01,15,img/line/line/s0.2m-0.4/,0
0.2,trig,-0.2,P7,line,0.05,0.05,16,img/trig/line/s0.2m-0.2/,0
0.05,quad,0.2,P7,scatter,-0.02,0.02,17,img/quad/scatter/s0.05m0.2/,0
0.1,trig,-0.1,P7,line,-0.03,0.03,18,img/trig/line/s0.1m-0.1/,0
0.02,line,0.8,P7,area,0,0,19,img_validation/line/area/s0.2m0.8/,1
0.1,line,0.2,P7,scatter,0.01,0.01,20,img/line/scatter/s0.1m0.2/,0
0.2,quad,-0.8,P7,scatter,-0.05,0.05,21,img/quad/scatter/s0.2m-0.8/,0
0.15,line,-0.8,P7,line,0.05,0.05,22,img/line/line/s0.15m-0.8/,0
0.05,trig,0.8,P7,scatter,-0.01,0.01,23,img/trig/scatter/s0.05m0.8/,0
0.05,quad,-0.8,P7,area,0.02,0.02,24,img/quad/area/s0.05m-0.8/,0
0.15,trig,-0.8,P7,area,0.1,0.1,25,img/trig/area/s0.15m-0.8/,0
0.1,line,0.8,P7,scatter,-0.05,0.05,26,img/line/scatter/s0.1m0.8/,0
0.05,quad,0.8,P7,line,0.04,0.04,27,img/quad/line/s0.05m0.8/,0
0.1,line,0.2,P7,area,-0.01,0.01,28,img/line/area/s0.1m0.2/,0
0.2,trig,-0.8,P7,area,-0.07,0.07,29,img/trig/area/s0.2m-0.8/,0
0.1,quad,0.8,P7,area,0.04,0.04,30,img/quad/area/s0.1m0.8/,0
0.1,trig,-0.2,P7,line,-0.16,0.16,31,img/trig/line/s0.1m-0.2/,0
0.15,line,-0.1,P7,area,-0.02,0.02,32,img/line/area/s0.15m-0.1/,0
0.2,quad,0.4,P7,scatter,-0.09,0.09,33,img/quad/scatter/s0.2m0.4/,0
0.05,line,0.2,P7,line,0.07,0.07,34,img/line/line/s0.05m0.2/,0
0.15,trig,-0.4,P7,area,-0.08,0.08,35,img/trig/area/s0.15m-0.4/,0
0.1,quad,0.4,P7,area,0.06,0.06,36,img/quad/area/s0.1m0.4/,0
0.1,trig,0.4,P7,line,0.03,0.03,37,img/trig/line/s0.1m0.4/,0
0.02,line,0.8,P7,area,0,0,38,img_validation/line/area/s0.2m0.8/,1
0.15,line,-0.8,P7,scatter,0.01,0.01,39,img/line/scatter/s0.15m-0.8/,0
0.05,quad,-0.4,P7,scatter,-0.02,0.02,40,img/quad/scatter/s0.05m-0.4/,0
0.2,line,-0.2,P7,area,-0.03,0.03,41,img/line/area/s0.2m-0.2/,0
0.2,trig,0.8,P7,scatter,-0.03,0.03,42,img/trig/scatter/s0.2m0.8/,0
0.15,quad,0.2,P7,area,0.03,0.03,43,img/quad/area/s0.15m0.2/,0
0.2,trig,0.4,P7,line,0.11,0.11,44,img/trig/line/s0.2m0.4/,0
0.15,line,0.1,P7,line,-0.01,0.01,45,img/line/line/s0.15m0.1/,0
0.2,quad,0.8,P7,line,-0.02,0.02,46,img/quad/line/s0.2m0.8/,0
0.15,line,0.4,P7,line,-0.13,0.13,47,img/line/line/s0.15m0.4/,0
0.05,trig,-0.8,P7,scatter,-0.02,0.02,48,img/trig/scatter/s0.05m-0.8/,0
0.05,quad,-0.4,P7,area,0.03,0.03,49,img/quad/area/s0.05m-0.4/,0
0.1,trig,-0.2,P7,scatter,-0.1,0.1,50,img/trig/scatter/s0.1m-0.2/,0
0.15,line,0.8,P7,area,-0.04,0.04,51,img/line/area/s0.15m0.8/,0
0.2,quad,0.1,P7,line,0.03,0.03,52,img/quad/line/s0.2m0.1/,0
0.1,line,-0.8,P7,scatter,-0.06,0.06,53,img/line/scatter/s0.1m-0.8/,0
